Sentence1,Sentence2,Label
या कामाला वेळ लागणार आहे,"मात्र, या सर्व प्रक्रियेला वेळ लागणार होत्या",NP
वाळूज परिसरात वाहतुकीचा प्रश्न गंभीर झाला असून अपघात वाढले असल्याचे नागरिकांनी सांगितले,त्यामुळे रहिवासी व पादचारी त्रस्त झाले आहेत,NP
वृश्चिक कायदा व नियमांचे पालन कटाक्षाने करा,कायदा व नियमांचे पालन करा,NP
"सिगारेटप्रमाणे फटाकेही आरोग्यासाठी हानिकारक असल्याने याविषयी राज्य सरकारने पुढाकार घ्यायला हवा, अशीही मागणी त्यांनी केली",या अनुषंगाने काही कठोर उपाययोजनांची गरज आहे,NP
लस दिल्यानंतर ती सुदृढ राहिल्याचा निर्वाळाही दिला,लसीकरणानंतरही ती निरोगी असल्याची पुष्टी झाली,P
कोल्हापुरात आल्यानंतर कोल्हापुरी चप्पल आणि जेवणाचा आस्वाद घेतल्याशिवाय पर्यटक जात नाही,कोल्हापुरात आल्यानंतर चप्पल खरेदी आणि जेवणाचा आस्वाद घेतल्याशिवाय पर्यटक जात नाही,P
यामुळे परिसरातील नागरिकांच्या आरोग्यास धोका निर्माण झाला आहे,यामुळे परिसरातील लोकांच्या आरोग्याला धोका निर्माण झाला आहे.,P
जायकवाडी धरणातील पाणीसाठा झपाट्याने कमी होत असल्यामुळे उपयुक्त पाण्याच्या वापरासंदर्भात विभागीय आयुक्त डॉ,जायकवाडी धरणातील पाणीसाठा झपाट्याने कमी होत आहे,NP
नीतेश राणे यांनीही केवळ काही शब्दांचं ट्वीट केलं आहे,नितेश राणे यांनीही काही मोजकेच शब्द ट्विट केले आहे,P
"यावर, करोना मात्र प्रत्येक वर्षी नसतो, असं प्रत्यूत्तर न्यायालयानं दिलं","त्यावर न्यायालयाने उत्तर दिले की, कोरोना दरवर्षी होत नाही",P
रक्त काढून प्लाझ्मा तयार करण्याबबात रक्तपेढ्यांमध्ये जागृती नाही,रक्तापासून प्लाझ्मा तयार करण्याबाबत रक्तपेढ्यांमध्ये जागृती नाही,P
जुलैमध्ये पाऊस पडण्यामध्ये सातत्य नसले तरी या महिन्यातील एकूण पाऊस हा पाच वर्षांतील सर्वाधिक पाऊस ठरला आहे,"जुलैमध्ये पावसाच्या सातत्य नसताना, त्या महिन्यातील एकूण पाऊस पाच वर्षांत सर्वोत्तम होता.",P
भारतामध्ये करोनाचे संक्रमण सुरु आहे,भारतात कोरोना विषाणूचा फैलाव होत आहे,P
त्यामुळे शहराअंतर्गत रस्त्यावरून प्रवास करताना वाहनचालकांचे हाल झाले,त्यामुळे रस्त्याने जाणाऱ्या वाहनचालकांसह नागरिकांना त्रास होत होता,P
"याकडे पाणीपुरवठा विभागाने लक्ष द्यावे, शाळांचा परिसर स्वच्छ ठेवण्यात यावा","मात्र या भागांत पिण्यासाठीही पाणी मिळत नसल्याने शौचालयांसाठी पाणी आणणार कुठून, असा प्रश्न आदिवासी उपस्थित करत आहेत",NP
त्यांनाही सक्ती करावीअहमद शेख,"परंतु, हे बिल मंजूर करण्यासाठी आहेर व गुप्ता यांनी एक लाख १० हजार रुपयांची लाच मागितली",NP
प्रकरणात सिटीचौक पोलिस ठाण्यात गुन्हा दाखल झाला होता,याप्ररकणी सिटीचौक पोलिस ठाण्यात गुन्हा दाखल करण्यात आला होता,NP
त्यांच्यावर सायन हॉस्पिटलमध्ये उपचार सुरू असतानाच मृत्यू झाला,परंतु उपचार सुरू असतानाच त्यांचा मृत्यू झाला,NP
राधा देवीच्या पूजनाचा व व्रताचा संकल्प घ्यावा,राधादेवीची पूजा आणि उपवास करण्याचा संकल्प घ्या,P
काही केल्या नियंत्रणात येत नव्हता,कशावरही नियंत्रण ठेवता येत नव्हते,P
पुण्यातील परिस्थितीत आटोक्यात येण्यासाठी अजून वेळ लागणार असल्याची शक्यता गृहीत धरूनच जंबो रुग्णालयांची उभारणी सुरू करण्यात आली आहे,पुण्यातील परिस्थिती नियंत्रणात येण्यास आणखी वेळ लागणार असल्याने जम्बो हॉस्पिटलच्या उभारणीला सुरुवात करण्यात आली आहे.,P
"त्यांनी आता माघार घ्यावी, असं सांगतानाच लोक मुंबई पोलिसांवर प्रश्नचिन्हं उपस्थित करत आहेत","आता माघार घ्या, असे म्हणत मुंबई पोलिसांवर सवाल करत आहेत",P
याच कारणामुळे मुंबईकडे येणाऱ्या रस्त्यांवर मोठी वाहतूक कोंडी झालेली दिसत आहे,यामुळे मुंबईकडे जाणाऱ्या मार्गांवर मोठ्या प्रमाणात वाहतूक कोंडी झाली.,P
"लातूर शहर विधानसभा मतदार संघातील पदाधिकारी, कार्यकर्ता बैठकीचे आयोजन काँग्रेस भवनात अमित देशमुख यांच्या अध्यक्षतेखाली करण्यात आले होते","आम्ही मेळावा होऊ द्या, अशी मागणी जिल्हा प्रशासनाकडे केली असल्याचे ते म्हणाले",NP
आम्ही व्हिडीओ कॉलिंगच्या माध्यमातून बाप्पाचं दर्शन घेतलं,व्हिडिओ कॉलिंगद्वारे बाप्पाचे दर्शन घेतले,P
"मात्र, व्यवहार करताना सावधगिरी बाळगणे हिताचे ठरेल",कोणताही व्यवहार करताना सावधगिरी बाळगणे हिताचे ठरेल,P
"तसंच, महाराष्ट्रातील सरकार कोसळण्याची भाकिते करणाऱ्या भाजपच्या नेत्यांवरही सडकून टीका करण्यात आली आहे",तसेच महाराष्ट्रातील सरकार कोसळण्याची भविष्यवाणी करणाऱ्या भाजप नेत्यांवरही जोरदार टीका केली आहे,P
विद्यार्थ्यांना हे वर्ष उत्साहाचे ठरणार आहे,विद्यार्थ्यांसाठी हे वर्ष उत्साहजनक ठरेल,P
आजमितीला शहरातील रुग्णांची संख्या पाहता दोन हजारपेक्षा जास्त रुग्ण ऑक्सिजनवर आहेत,सध्या शहरातील रुग्णांची संख्या पाहता दोन हजारांहून अधिक रुग्ण ऑक्सिजनवर आहेत,P
इथून पुढे तुम्हाला स्वतः घाम गाळून कमावलेला पैसाही मनमुराद खर्च करता येणार नाही,इथून पुढे तुम्हाला तुम्हीच घाम गाळून कमावलेला पैसाही मनमुराद खर्च करता येणार नाही,P
या नद्यांची पूररेषा ठरली नसल्याने काठावर असंख्य बांधकामे झाली आहेत,या ठिकाणी नाला बांधण्यासाठी येथील नागरिकांची संमती नव्हती,NP
पण सिनेमाच्या प्रेमाखातर त्यांनी अभिनयातून आपलं लक्ष दिग्दर्शनाकडे वळवलं,मात्र सिनेमाच्या प्रेमापोटी त्यांनी अभिनयाकडून दिग्दर्शनाकडे लक्ष वळवले,P
तसं झालं नाही तर सरकार कोसळेल,ते शक्य झाले नाही तर विश्वासदर्शक ठरावाच्या वेळी त्यांचे सरकार कोसळेल,NP
रागावर नियंत्रण ठेवणेच हितकारक ठरेल,रागावर ताबा ठेवावा लागेल,P
या सर्वांनीच यंदाची ही निवडणूक प्रतिष्ठेची केली आहे,लोकसभेच्या पार्श्वभूमीवर साऱ्यांनीच ही निवडणूक प्रतिष्ठेची केली आहे,NP
"ते पैसे त्यांनी खर्च केल्यावर केंद्र सरकार कसे पुढे येत नाही, ते आम्ही पाहतो, असेही राजू शेट्टी यांनी स्पष्ट केले","त्यांनी खर्च करूनही केंद्र सरकार कसे पुढे येत नाही ते आपण पाहतो, असेही राजू शेट्टी यांनी स्पष्ट केले",P
"नऊ टक्के मध्यम, तर चार टक्के मोठे शेतकरी स्थलांतरित झाले",नऊ टक्के मध्यम आणि चार टक्के मोठे शेतकरी स्थलांतरित झाले,P
जमियतचे उत्तर प्रदेशातील माजी सरचिटणीस एम,जमैतचे प्रदेशातील माजी सरचिटणीस एम,NP
याचा आस्पेक्ट रेशियो दिला आहे,याचा आस्पेक्ट रेशियो असा आहे,P
"मेकअप रूम,  वातानुकूलित व्यवस्था पाहून दामले यांनी सूचना केल्या","मेकअप रुम, ग्रीन रुम, वातानुकूलित व्यवस्था पाहून दामले यांनी सूचना केल्या",NP
हा तेजाचा उत्सव आहे,असं म्हणतं दिवाळी काही दिवसांवर आली आहे,NP
लोकसभा व विधानसभा निवडणुकीतील पराभवामुळे आलेले अपयश दूर करण्याचे आव्हान काँग्रेससमोर आहे,विरोधी पक्षातील दोन्ही काँग्रेसमधील वाद मिटविण्यासाठी मुख्यमंत्री फडणवीस यांच्या प्रमुख उपस्थितीत सोमवारी विधानभवनात बैठक झाली,NP
परदेशी कंपन्यांनी भारतात त्याचं उत्पादन करावं हा या प्रकल्पाचा मूळ उद्देश होय,परदेशी कंपन्यांनी भारतात येऊन उत्पादन नाही करण्यावर भर द्यावा हाच या प्रकल्पाचा मूळ उद्देश आहे,NP
"अजून बराच मोठा पल्ला गाठायचा आहे, असा सल्ला दिला होता",अजून खूप मोठा पल्ला गाठायचा होता,P
त्यांच्या समवेत असलेल्या बहीण अनुसया व भाचा योगेश या अन्य दोघांना देखील समजदार लोकांनी एका सायजिगमध्ये लपवून ठेवले,त्यांच्या समवेत असलेली बहीण अनुसया व भाचा योगेश या अन्य दोघांनादेखील समजूतदार लोकांनी लपवून ठेवले,NP
अंतराळातलं हुरहुर लावणारं अस्तित्व!,"संरक्षण मंत्रालयाच्या इमारतीला लक्ष्य करीत घडवण्यात आलेला हा स्फोट इतका शक्तिशाली होता की, दोन किमी अंतरापर्यंतच्या इमारतींना हादरे बसले",NP
बिग बॉसच्या घरातून या आठवड्यात विद्याधर जोशी उर्फ बाप्पा बाहेर पडले,"दरम्यान, रविवारच्या भागात विद्याधर उर्फ बाप्पा जोशी घरातून बाहेर पडले",NP
सुधाकर शिंदे यांनी केला आहे,शिंदे यांनी नमूद केले,NP
महापालिका प्रशासनाने २०१२१३ या वर्षाचे बजेट त्यावेळी स्थायी समिती अस्तित्वात नसल्यामुळे थेट सर्वसाधारण सभेला सादर केला,महापालिका प्रशासनाने स्थायी समिती अस्तित्वात नसल्यामुळे २०१२१३ या वर्षाचा अर्थसंकल्प सादर केला,NP
"पाकिस्तानची भारताला धमकी, ५०० राफेल जेट्स आणले तरी आम्ही घाबरत नाही!","पाकिस्तानची भारताला धमकी, ५०० राफेल विमाने आणली तरी आम्ही घाबरत नाही!",P
त्यांचं म्हणणं ऐकून घ्या,गरसोई खुर्दचा लोकनियुक्त सरपंच्य,NP
नागरिकांमध्ये भीतीचे वातावरण पसरले,या घटनेमुळे गावात भीतीचे वातावरण निर्माण झाले,NP
स्वच्छतागृहांची परिस्थिती भयानक आहे,मात्र रुग्ण सेवेसाठी आधुनिक तंत्रज्ञानाचा वापर व स्वच्छता आणि रुग्णांच्या नातेवाईकांसाठी आश्रमशाळेची व्यवस्था ही रुग्णालयाची जमेची बाजू आहे,NP
"उलट अनेक गुणवत्तावान खेळाडूंची कारकीर्द या गैरप्रकारामुळे उद्ध्वस्त होते, त्यांच्यावर हा अन्यायही ठरू शकतो","उलट या गैरप्रकारामुळे अनेक दर्जेदार खेळाडूंची कारकीर्द उद्ध्वस्त होते, हा त्यांच्यावर अन्यायही होऊ शकतो",P
"दरम्यान, दमदार पाऊस झाल्याने शेतीच्या उन्हाळी कामांना जोमाने सुरुवात होणार आहे","दरम्यान, हा पाऊस शेतीच्या उन्हाळी कामांना फायदेशीर ठरणार आहे",NP
मुंबईला पावसामुळे फळभाज्या पाठविण्यात येणाऱ्या अडचणींमुळे व्यापारी कमी प्रमाणात फळभाज्यांची खरेदी करू लागल्याने त्याचा फटका फळभाज्यांना बसत आहे,मुंबईत सुरू असलेल्या जोरदार पावसामुळे फळभाज्या पोहोचण्यास अडचणी येत असल्याने या भाज्यांचा खप कमी झाला आहे,P
त्याचा मोठा फटका भारताला बसला आहे,त्याचा मोठा परिणाम भारताला भोगावा लागला आहे.,P
असोसिएट्स या कंपनीची नेमणूक केली होती,या कंपनीची नियुक्ती करण्यात आली होती,P
सिडको हडकोमधील गणेश मंडळांचे तसेच घरगुती गणपतींचे विसर्जन एन १२ येथील विसर्जन विहिरीत करण्यात येते,सिडको हडकोमधील गणेश मंडळे तसेच घरगुती गणेशाचे विसर्जन एन 12 येथील विसर्जन विहिरीत केले जाते,P
३१ डिसेंबर २०२६ पर्यंत हा विस्तार टप्याटप्यात केला जाणार आहे असल्याचे कंपनीने म्हटलं आहे,यासाठी कंपनीने बीसीसीआयसोबत एक करार देखील केला आहे,NP
तर दुसरीकडे छोटी बांधकामे करून जागा अतिक्रमित केली जात आहे,दुसरीकडे छोट्या बांधकामांनी जागेवर अतिक्रमण केले जात आहे,P
"त्यामुळे आता हा खेळाडू नेमकी काय भूमिका मांडतो, याकडे सर्वांचे लक्ष असेल",त्यामुळे आता हा खेळाडू काय भूमिका घेतो याकडे सर्वांचे लक्ष लागले आहे,P
करोना व्हायरसने प्रचंड आर्थिक नुकसान केले आहे,करोना व्हायरसने अर्थव्यवस्थेला मोठे नुकसान केले.,P
सेव्हन स्टार रूग्णालय व्यवस्थापनाने रूग्णांवर उपचार व त्यांच्याकडून आकारल्या गेलेल्या शुल्काची माहितीही दडवून ठेवली,सेव्हन स्टार रुग्णालयाच्या व्यवस्थापनानेही रुग्णांवर उपचार आणि आकारले जाणारे शुल्क याची माहिती लपवून ठेवली,P
त्यामुळे सभागृहाचे मत विचार करून निर्णय घ्यावा,"पालिका आर्थिकदृष्ट्या संकटात असताना सर्वपक्षीय नगरसेवक या मुद्द्यावर काय भूमिका घेतात, याकडे सर्वांचे लक्ष लागले आहे",NP
• चालू खात्यातून दर आठवड्याला ५० हजार रुपये काढण्याची परवानगी आहे,"• चालू खाते असलेल्या खातेदारांना, त्यांनी केवायसी प्रक्रिया पूर्ण केली असल्यास त्यांच्या चालू खात्यातून आठवड्याला ५० हजार रुपये काढण्याची परवानगी देण्यात आली आहे",NP
काय म्हणाले होते पवार?,पवार काय म्हणाले?,P
"कुणी गायनाच्या, कुणी वादनाच्या, तर कुणी खेळांच्या शिबिराला प्रवेश घेतात","कुणी गायनाच्या, कुणी वादनाच्या, तर कुणी खेळांच्या शिबिरात प्रवेश घेतात",P
सुविधाही आम्ही पुरवत आहोत,त्यामुळे वाहनचालकांना खड्ड्यांचा अंदाज येत नव्हता,NP
याबाबत गंभीरपणे विचार होण्याची गरज आहे,याबाबत विचार होणे गरजेचे आहे,NP
‘फ्रॉम हिस्ट्री टू प्रीहिस्ट्री अॅट नेवासा’ या अहवालात ही माहिती आहे,हा अहवाल ‘फ्रॉम हिस्ट्री टू प्रीहिस्ट्री अॅट नेवासा’ या नावाने प्रकाशित झाला,NP
शाहरुखचा मोबाइल नंबरही तिला देण्यात आला,जो मोबाइल क्रमांक अर्ज भरताना सादर केला आहे,NP
४५ हेक्टर हरित क्षेत्र भराव टाकून नष्ट केल्याचे वास्तव समोर आले आहे,४५ हेक्टर हिरवे क्षेत्र भराव टाकून नष्ट झाल्याचे वास्तव समोर आले आहे,P
त्यामुळे नदीकाठच्या रहिवाशांनी सावधता बाळगावी,त्यामुळे नदीकाठच्या रहिवाशांनी काळजी घ्यावी,P
त्यावेळी तिच्यावर बलात्कार केला,त्यावेळी तिला बलात्कार केला गेला.,P
"या कार्यक्रमात राज्यपाल, शिवसेना पक्षप्रमुख उद्धव ठाकरे यांच्यासह अभिनेते अमिताभ बच्चन, आमिर खान आणि इतर मान्यवर उपस्थित होते","या बहुचर्चित कार्यक्रमाला राज्याचे राज्यपाल, मुख्यमंत्री यांच्यासह शिवसेना पक्षप्रमुख उद्धव ठाकरे, अभिनेते अमिताभ बच्चन, आमिर खान आणि इतर अनेक मान्यवर उपस्थित होते",NP
"पण, चित्रपटगृहं सुरू करण्याबाबत अद्यापही अनिश्चितता कायम आहे","अर्थात, चित्रपटगृहं, मल्टिप्लेक्स सुरू झाली, तरी नवीन चित्रपट कधी येतील यावर मात्र प्रश्नचिन्ह कायम असेल",NP
त्या सीटला धोनीचे नाव दिले जाऊ शकते,ती जागा धोनीच्या नावावर ठेवता येईल,P
महिलांनी खटल्याच्या कागदपत्रांची फाईल शहरातून पालखीत ठेऊन त्याची मिरवणूक काढली,महिलांनी फाईल शहरातून पालखीत ठेवून त्याची मिरवणूक काढली,NP
"संरक्षण दलाच्या अत्याधुनिकीकरणास सरकारचे प्राधान्य आहे, असेही ते म्हणाले","संरक्षण दलाच्या अत्याधुनिकीकरणास सरकारचे प्राधान्य आहे, असेही ते म्हणाले",P
कर्जमाफीची अंमलबजावणी शून्य असल्याने शिवसेना पुन्हा आक्रमक झाली आहे,आर्थिक उत्पन्न जवळपास शून्य झालेल्या एसटी महामंडळास कर्मचाऱ्यांना वेतन देणेही अवघड झाले आहे,NP
त्यांचं म्हणणं ऐकून घ्या,धक्काबुक्की करून त्यांना शिवीगाळही केली,NP
नेपाळच्या पावलावर पाऊल टाकत पाकिस्तानने नवा नकाशा जाहीर करत भारताच्या भूभागावर दावा केला आहे,नेपाळनंतर आता पाकिस्तानने आपला नवीन नकाशा जाहीर केला असून भारताच्या भूभागांवर आपला अधिकार दर्शवला आहे,P
शिवाय आता या कामांची निविदा प्रक्रियाही सुरू झाली आहे,यासाठीची निविदा प्रक्रिया सुरू झाली आहे,NP
त्यामुळे या आत्महत्या प्रकरणाची आम्हाला काळजी आहे,त्यामुळे या आत्महत्या प्रकरणामुळे आम्ही चिंतेत आहोत,P
"शिवाय, घोड्यांकडेही दुर्लक्ष केले जाते","वास्तविक, या जमिनी सरकारी मालकीच्या आहेत, याकडे नोंदणी विभाग तसेच अन्य सरकारी विभागांनी सोईस्करपणे दुर्लक्ष केले",NP
इथं आम्हाला शाहीन बागसारखं आंदोलन उभं करायचं होतं,इथे आम्हाला शाहीनबागसारखी चळवळ सुरू करायची होती,P
​येथील बालगृहरोडवरील विठ्ठलवाडी भागातील दक्षिणमुखी  हनुमान  मंदिरात मूर्तीस  अभिषेक करण्यात आला,या पूर्वी पंतप्रधान अयोध्येतील हनुमानगडी मंदिरात पूजा करतील असे हनुमानगडीच्या पुजाऱ्याने माहिती दिली आहे,NP
"या हॉटेल्सच्या जागी आता रेडीमेड कपड्यांची दुकाने, पाश्चात्य खाद्यपदार्थांची साखळी असलेली रेस्टॉरंटस, मोबाइल फोनची दुकाने कॉफी शॉप्स येऊ लागली आहेत","या हॉटेलांची जागा आता रे‌डिमेड कपड्यांची दुकाने, मोबाइल फोनची दुकाने, आइसक्रीम पार्लर्स, चप्पलबुटांची दुकाने, पाश्चात्य खाद्यपदार्थांच्या साखळी रेस्तराँनी घेतली आहे",NP
एकतर्फी प्रेमातून पाठलाग करत तरुणीचा विनयभंग केल्याची घटना ठाण्यात घडली,अजनीत लिव्ह इनमधून प्रियकराने प्रेयसीच्या पतीची हत्या केली,NP
सध्या सुरू असलेल्या जनगणनेचा पहिला टप्पा मार्च २०११मध्ये पूर्ण होईल,सध्या सुरू असलेल्या पहिला टप्पा मार्च २०११ मध्ये पूर्ण होणार आहे,NP
इतर संघ मात्र खूष,मित्रांच्या भेटीगाठीमुळे मन प्रसन्न राहील,NP
"४९ टक्के श्रमिकांचे उत्पन्न एकदम बंद पडल्याचे, तर ४७ टक्के कामगारांचे उत्पन्न हळूहळू कमी होत गेल्याचे अभ्यासात आढळले","अभ्यासात असे दिसून आले की 49 टक्के कामगारांच्या उत्पन्नात अचानक घट झाली, तर 47 टक्के कामगारांच्या उत्पन्नात हळूहळू घट झाली.",P
या सदनिका पुणे आणि पिंपरी चिंचवड महापालिकांच्या हद्दीबरोबरच सोलापूर आणि सांगलीतील होत्या,या सदनिका मुख्यतः मुंबई आणि नवी मुंबई महापालिकांच्या हद्दीत तसेच नाशिक आणि औरंगाबाद येथे आहेत.,NP
त्यानंतर पाहता पाहता सोनियाने बरोबरी साधली,त्यानंतर पॉइंट घेत सोनियाने बरोबरी साधली,NP
या दुखापतीतून अजूनही मी सावरलेली नाही,या दुखापतीतून अजूनही मी सावरलेले नाही,P
"आठवडाभराच्या आत ओव्हरहेड केबल काढले जातील, असे सांगत ही सर्व कामे पावसाळ्याआधी करण्यात येतील, अशी ग्वाहीही दिली होती","ही सर्व कामे पावसाळ्याआधी करण्यात येतील, अशी ग्वाहीही दिली",NP
देशात उद्या ७४ वा स्वातंत्र्य दिन साजरा केला जाणार आहे,उद्या देशात ७४ वा स्वातंत्र्यदिन साजरा होणार आहे,P
‘एमपीएससी’ची परीक्षा येत्या १८ मे रोजी आहे,"प्रतिनिधी, पुणे महाराष्ट्र लोकसेवा आयोगातर्फे (एमपीएससी) घेण्यात येणारी राज्यसेवा पूर्व परीक्षा आता १८ मे रोजी होणार आहे",NP
"आम्ही अधिकाऱ्यांकडे फिजिओसाठी विनंती केली पण त्याचा काहीच परिणाम झाला नाही, असे विक्रमी सुवर्णपदक पटकावणारी मीराबाई चानू म्हणाली","आम्ही अधिकाऱ्यांकडे फिजिओसाठी विनंती केली पण त्याचा काहीच परिणाम झाला नाही, असे विक्रमी सुवर्णपदक पटकावणारी मिराबाई चानू म्हणाली",P
"आज, शनिवारी गणरायाची प्राणप्रतिष्ठा होणार असली तरी शुक्रवारपासून बाप्पाला घरी घेऊन जाण्यास सुरुवात झाली",गणरायाची प्राणप्रतिष्ठा आज शनिवारी होणार असली तरी शुक्रवारपासून बाप्पाला घरी नेण्यास सुरुवात झाली आहे,P
नवी दिल्लीः अर्थसंकल्पीय अधिवेशनात सरकारला त्रासदायक ठरू नये म्हणून एप्रिल महिन्यात टाळलेली डिझेल दरवाढ शुक्रवारी झाली,नवी दिल्ली । वृत्तसंस्था अर्थसंकल्पीय अधिवेशनात सरकारला त्रासदायक ठरू नये म्हणून एप्रिल महिन्यात टाळलेली डिझेल दरवाढ शुक्रवारी झाली,NP
शहराशहरातून विविध गणेशोत्सव मंडळांची स्थापना होऊ लागली,त्यातूनच मग नवी मुंबईतील शहराशहरातून सार्वजनिक गणेशोत्सव मंडळांची स्थापना होऊ लागली,NP
यावर्षी आयपीएलचे आयोजन युएईमध्ये करण्यात आले आहे,यंदा आयपीएल हे युएईमध्ये खेळवण्यात येणार आहे,P
बाबरीचा ढाचा संपूर्ण जमीनदोस्त होताच उत्तर प्रदेशचे तत्कालीन मुख्यमंत्री कल्याणसिंग यांनी मुख्यमंत्रीपदाचाच राजीनामा दिला,उत्तर प्रदेशचे तत्कालीन मुख्यमंत्री कल्याण सिंह यांनी बाबरी बांध पूर्णपणे उद्ध्वस्त होताच मुख्यमंत्रिपदाचा राजीनामा दिला होता,P
"गाडी चालवताना असलेला स्मूथनेस, गाडीवरचा ताबा, समयसूचकता यावर भर देऊन ही परीक्षा पार पडेल",यावेळी लघुशंका करण्याच्या बहाण्याने त्यांनी कार थांबवण्यास सांगितले,NP
दोघांनीही एकमेकांना पाहून घेण्याची धमकी दिली,दोघांनी एकमेकांना पाहून घेण्याची धमकी दिली होती,P
"मुख्यमंत्री उद्धव ठाकरे यांनीही ट्विट करत अमित शहा लवकरच बरे होऊन येतील व तेवढ्याच जोमानं कामालाही लागतील, असे म्हटलं आहे","मुख्यमंत्री उद्धव ठाकरे यांनीही अमित शहा लवकरच बरे होतील आणि त्याच जोमाने कामाला लागतील, असे ट्विट केले आहे",P
राहुलचे वडील श्यामसुंदर आणि त्यांच्या पत्नी पुष्पा या अलीगड येथील खैर विभागातील पीपल या गावात एका खोलीच्या घरात राहात आहेत,राहुलचे वडील श्यामसुंदर आणि त्यांची पत्नी पुष्पा अलीगडमधील खैर विभागातील पीपल गावात एका खोलीच्या घरात राहतात,P
"नृत्यामध्ये चित्रकला, शिल्पकला, संगीत, ताल, साहित्य या सर्वांचाच अंतर्भाव असल्यामुळे नृत्य शिकणारी व्यक्ती ही सर्व अंगाने समृद्ध होत असते","मनोरंजनसृष्टीत कलाकारांसोबत सहनर्तक, नर्तकी म्हणून काम करणाऱ्यांची संख्या काही हजारांत आहे",NP
ही माहिती मुकुंदने ट्विटरवरर पोस्ट करून दिली,मुकुंदने ट्विटरवर ही माहिती दिली आहे,P
हडपसर पोलिसांनी दुचाकीवरील अनोळखी आरोपीविरुद्ध जबरी चोरीचा गुन्हा दाखल केला आहे,या प्रकरणी दुचाकीवरील दोघा आरोपींविरुद्ध जबरी चोरीचा गुन्हा दाखल केला आहे,NP
सुरेशचंद्र भोसले यांनी कोर्टात केला,सुरेशचंद्र भोसले यांनी कोर्टात मांडले,NP
"नागनाथ कोडे यांच्या मार्गदर्शनाखाली पोलिस निरीक्षक मधुकर सावंत, पीएसआय पोमनाळकर, चौरे, होनराव, भोसले आणि भानुसे यांनी केली","नागनाथ कोडे, पोलिस निरीक्षक मधुकर सावंत यांच्या मार्गदर्शनाखाली एपीआय मनोज शिंदे, एएसआय नितीन मोरे, भगवान शिलोटे, परभत म्हस्के आणि विशाल पाटील यांनी केली",NP
काही ठिकाणी कामे सुरू आहेत,काही भागांमध्ये कामे सुरू झाली आहेत.,P
"मेवाती घराण्याचं कलासंगीत हे मुख्यतः कंठसंगीत असलं, तरी सतारवादनाची परंपराही तिथे आहे",मेवाती घराण्यातील कला संगीत हे मुख्यत्वे स्वर संगीत असले तरी सतार वादनाचीही परंपरा आहे,P
"मात्र, त्यांच्या हाती काहीच लागले नाही","तथापि, त्यांना काहीही मिळाले नाही.",P
"एका लहान घरांत फक्त ट्यूबलाइट, पंखा, टीव्ही अशी सर्वसामान्य सामग्री आहे","छोट्या घरात फक्त ट्यूबलाइट, पंखा, टीव्ही या मूलभूत गोष्टी आहेत",P
